"","user","system","elapsed","test","test_group","cores"
"1",0.173999999999999,0.0129999999999999,0.186999999999898,"fib","prog",0
"2",0.177,0.00100000000000033,0.178999999999974,"fib","prog",0
"3",0.170000000000002,0,0.170000000000073,"fib","prog",0
"4",0.558,0.108,0.670000000000073,"gcd","prog",0
"5",0.553999999999995,0.0910000000000002,0.649000000000001,"gcd","prog",0
"6",0.555999999999997,0.0890000000000004,0.649000000000001,"gcd","prog",0
"7",0.323,0.0499999999999998,0.37399999999991,"hilbert","prog",0
"8",0.311,0.0129999999999999,0.329999999999927,"hilbert","prog",0
"9",0.187999999999995,0.0220000000000002,0.211999999999989,"hilbert","prog",0
"10",1.039,0.0119999999999996,1.053,"toeplitz","prog",0
"11",1.021,0.00399999999999956,1.02700000000004,"toeplitz","prog",0
"12",1.133,0.00900000000000034,1.14300000000003,"toeplitz","prog",0
"13",0.670000000000002,0.173999999999999,0.847000000000094,"escoufier","prog",0
"14",0.623999999999995,0.0779999999999994,0.703999999999951,"escoufier","prog",0
"15",0.621000000000002,0.0709999999999997,0.694000000000074,"escoufier","prog",0
"16",0.689,0.0469999999999997,0.739000000000033,"manip","matrix_cal",0
"17",0.657000000000004,0.04,0.699000000000069,"manip","matrix_cal",0
"18",0.399000000000001,0.00499999999999989,0.403999999999996,"manip","matrix_cal",0
"19",0.134999999999998,0.00100000000000033,0.136000000000081,"power","matrix_cal",0
"20",0.129999999999995,0,0.129999999999995,"power","matrix_cal",0
"21",0.135000000000005,0.00100000000000033,0.134999999999991,"power","matrix_cal",0
"22",0.578999999999994,0.0179999999999998,0.599999999999909,"sort","matrix_cal",0
"23",0.555000000000007,0.00199999999999978,0.557999999999993,"sort","matrix_cal",0
"24",0.565000000000012,0.00199999999999978,0.56899999999996,"sort","matrix_cal",0
"25",0.699000000000012,0.0339999999999998,0.128000000000043,"cross_product","matrix_cal",0
"26",0.730999999999995,0.0170000000000003,0.114000000000033,"cross_product","matrix_cal",0
"27",0.720999999999989,0.0220000000000002,0.115000000000009,"cross_product","matrix_cal",0
"28",0.0849999999999937,0.00999999999999979,0.0190000000000055,"lm","matrix_cal",0
"29",0.0939999999999941,0.00999999999999979,0.0180000000000291,"lm","matrix_cal",0
"30",0.0870000000000033,0.00899999999999945,0.0159999999999627,"lm","matrix_cal",0
"31",0.837999999999994,0.0550000000000006,0.295000000000073,"cholesky","matrix_fun",0
"32",0.712999999999994,0.0340000000000007,0.144000000000005,"cholesky","matrix_fun",0
"33",0.710000000000008,0.0270000000000001,0.139999999999986,"cholesky","matrix_fun",0
"34",0.546999999999997,0.0459999999999994,0.144999999999982,"determinant","matrix_fun",0
"35",0.530999999999992,0.0289999999999999,0.129000000000019,"determinant","matrix_fun",0
"36",0.529000000000011,0.0289999999999999,0.128000000000043,"determinant","matrix_fun",0
"37",0.438999999999993,0.234,0.367000000000075,"eigen","matrix_fun",0
"38",0.441000000000003,0.23,0.367999999999938,"eigen","matrix_fun",0
"39",0.426000000000002,0.224,0.352999999999952,"eigen","matrix_fun",0
"40",0.216999999999999,0,0.218000000000075,"fft","matrix_fun",0
"41",0.213999999999999,0.000999999999999446,0.216000000000008,"fft","matrix_fun",0
"42",0.209999999999994,0.00100000000000122,0.211000000000013,"fft","matrix_fun",0
"43",0.674999999999997,0.0690000000000008,0.182999999999993,"inverse","matrix_fun",0
"44",0.670000000000002,0.0570000000000004,0.165000000000077,"inverse","matrix_fun",0
"45",0.692999999999998,0.0809999999999995,0.194999999999936,"inverse","matrix_fun",0
