"","user","system","elapsed","test","test_group","cores"
"1",0.303,0.0150000000000001,0.318999999999988,"fib","prog",0
"2",0.183,0.00100000000000011,0.185000000000002,"fib","prog",0
"3",0.169,0.00100000000000011,0.169000000000011,"fib","prog",0
"4",0.706,0.095,0.804999999999978,"gcd","prog",0
"5",0.673999999999999,0.0819999999999999,0.762,"gcd","prog",0
"6",0.559999999999999,0.0909999999999997,0.657000000000011,"gcd","prog",0
"7",0.323,0.0470000000000002,0.373000000000019,"hilbert","prog",0
"8",0.316999999999998,0.0110000000000001,0.329000000000008,"hilbert","prog",0
"9",0.188000000000001,0.0210000000000001,0.20999999999998,"hilbert","prog",0
"10",1.072,0.0139999999999998,1.09899999999999,"toeplitz","prog",0
"11",1.046,0.016,1.06999999999999,"toeplitz","prog",0
"12",0.968999999999999,0.00499999999999989,0.979000000000013,"toeplitz","prog",0
"13",0.680999999999999,0.145,0.837999999999994,"escoufier","prog",0
"14",0.661999999999999,0.085,0.754999999999995,"escoufier","prog",0
"15",0.664999999999999,0.0859999999999999,0.75800000000001,"escoufier","prog",0
"16",0.727,0.052,0.789999999999992,"manip","matrix_cal",0
"17",0.672000000000001,0.0409999999999999,0.719999999999999,"manip","matrix_cal",0
"18",0.422999999999998,0.00699999999999967,0.433999999999997,"manip","matrix_cal",0
"19",0.135000000000002,0.00099999999999989,0.136000000000024,"power","matrix_cal",0
"20",0.129000000000001,0,0.128999999999991,"power","matrix_cal",0
"21",0.134,0.00099999999999989,0.134999999999991,"power","matrix_cal",0
"22",0.619,0.0220000000000002,0.649000000000001,"sort","matrix_cal",0
"23",0.587000000000003,0.00400000000000045,0.596000000000004,"sort","matrix_cal",0
"24",0.576000000000001,0.00300000000000011,0.580000000000013,"sort","matrix_cal",0
"25",0.765999999999998,0.0340000000000003,0.12299999999999,"cross_product","matrix_cal",0
"26",0.801000000000002,0.0430000000000001,0.126000000000005,"cross_product","matrix_cal",0
"27",0.718,0.0379999999999998,0.150999999999982,"cross_product","matrix_cal",0
"28",0.0960000000000001,0.0089999999999999,0.02800000000002,"lm","matrix_cal",0
"29",0.0849999999999973,0.0100000000000002,0.0169999999999959,"lm","matrix_cal",0
"30",0.0710000000000015,0.0100000000000002,0.01400000000001,"lm","matrix_cal",0
"31",0.841999999999999,0.0649999999999999,0.304000000000002,"cholesky","matrix_fun",0
"32",0.707999999999998,0.0370000000000004,0.14500000000001,"cholesky","matrix_fun",0
"33",0.706999999999994,0.032,0.14100000000002,"cholesky","matrix_fun",0
"34",0.512,0.0299999999999998,0.14500000000001,"determinant","matrix_fun",0
"35",0.698,0.0350000000000001,0.169999999999987,"determinant","matrix_fun",0
"36",0.682000000000002,0.0350000000000001,0.168000000000006,"determinant","matrix_fun",0
"37",0.439,0.232,0.37299999999999,"eigen","matrix_fun",0
"38",0.440000000000005,0.238,0.367000000000019,"eigen","matrix_fun",0
"39",0.443000000000005,0.243,0.367999999999995,"eigen","matrix_fun",0
"40",0.277000000000001,0.00100000000000033,0.280000000000001,"fft","matrix_fun",0
"41",0.280999999999999,0.00199999999999978,0.28400000000002,"fft","matrix_fun",0
"42",0.270000000000003,0.000999999999999446,0.270999999999987,"fft","matrix_fun",0
"43",0.835999999999999,0.0800000000000001,0.221000000000004,"inverse","matrix_fun",0
"44",0.648000000000003,0.0669999999999993,0.175000000000011,"inverse","matrix_fun",0
"45",0.655999999999999,0.0659999999999998,0.171000000000021,"inverse","matrix_fun",0
